Name,Date
Jason Tucker,"September 20, 1980"
Austin Hester,"March 08, 1981"
Daniel Jackson,"October 02, 1981"
Mrs. Samantha Johnson,"December 17, 1981"
Joseph Harris,"March 03, 1982"
Mrs. Samantha Johnson,"March 12, 1982"
Gina Maldonado,"December 16, 1982"
Mrs. Samantha Johnson,"December 23, 1982"
Yesenia Smith,"August 10, 1983"
Lori Martin,"February 05, 1984"
Jonathan Parrish,"June 12, 1984"
Mrs. Samantha Johnson,"July 20, 1984"
Amanda Brown,"August 08, 1984"
Sarah Murray,"October 30, 1984"
Mrs. Samantha Johnson,"November 28, 1984"
Austin Hester,"June 04, 1985"
Jonathan Parrish,"March 18, 1986"
Yesenia Smith,"May 06, 1986"
Daniel Jackson,"December 13, 1986"
Gina Maldonado,"February 13, 1987"
Kimberly Stewart,"December 12, 1987"
Mrs. Samantha Johnson,"July 10, 1988"
Sarah Murray,"August 16, 1988"
Aaron Kaufman,"October 24, 1988"
Tony Henderson,"November 07, 1988"
Sarah Murray,"November 19, 1988"
Austin Hester,"January 18, 1989"
Joseph Harris,"March 01, 1989"
Gina Maldonado,"April 07, 1989"
Aaron Kaufman,"November 14, 1989"
Daniel Jackson,"April 08, 1990"
Aaron Kaufman,"May 01, 1990"
Aaron Kaufman,"July 21, 1990"
Tony Henderson,"October 04, 1990"
Yesenia Smith,"November 23, 1990"
Joseph Harris,"April 03, 1991"
Jason Tucker,"April 30, 1991"
Matthew Russell,"May 31, 1991"
Lori Martin,"July 08, 1991"
Mrs. Samantha Johnson,"July 23, 1991"
Tony Henderson,"November 15, 1991"
Gina Maldonado,"February 09, 1992"
Sarah Murray,"June 27, 1992"
Gina Maldonado,"October 31, 1992"
Austin Hester,"December 10, 1992"
Mrs. Samantha Johnson,"December 12, 1992"
